video,status,npz_files,total_wall_s,gpu_util_max,gpu_util_mean,gpu_util_p95,gpu_mem_peak_mib,gpu_mem_mean_mib,gpu_samples
Bjh_ZlWH4TA,complete,7,201.5,100.0,6.4,57.0,2650.0,2433.4,188
Bn2Z6tnZk1A,complete,6,514.4,100.0,2.5,16.0,3282.0,2439.0,477
BnyAcK8mAAI,complete,7,293.0,100.0,5.3,47.0,2637.0,2436.7,276
BpErDroM9rM,complete,7,184.1,100.0,4.0,16.0,2637.0,2437.9,173
BqwmzSGl7aI,complete,7,306.1,100.0,5.5,47.0,2637.0,2436.4,289
BrJqJ7KYCac,complete,7,390.0,100.0,3.1,16.0,2844.0,2440.3,364
BsZ3VAZXaJk,complete,7,243.4,100.0,3.5,17.0,2637.0,2434.6,229
BtoI9eDzqRc,complete,7,184.6,100.0,9.0,52.0,2844.0,2436.0,175
BuD7x40AU8g,complete,7,667.4,100.0,3.9,28.0,2637.0,2434.7,604
BxyNPTcJ9iE,complete,7,313.8,100.0,6.5,53.0,3298.0,2446.4,293
ByQP5y358hw,complete,7,189.6,59.0,1.5,9.0,2637.0,2439.3,179
ByaCCjgta5U,complete,7,290.3,100.0,5.9,49.0,2637.0,2437.6,273
BzS6LG9DsC4,complete,7,193.2,100.0,4.2,17.0,2637.0,2439.4,179
C-XkW2OAFXc,complete,7,194.7,92.0,5.1,34.0,2640.0,2438.9,181
C0ZO6Ll28Jk,complete,7,287.7,100.0,7.8,54.0,2649.0,2434.7,271
C0jvekQrH8A,complete,7,544.0,100.0,6.0,49.0,2637.0,2435.4,504
C213l8_2QDI,complete,7,256.4,100.0,5.9,49.0,2637.0,2435.1,242
C2Mda1TT4gY,complete,7,189.6,78.0,2.8,16.0,2637.0,2440.0,179
C2Mr8pGUm4M,complete,7,175.7,100.0,9.6,52.0,2637.0,2434.3,164
C2clU0dVIyY,complete,7,231.9,100.0,6.1,47.0,2637.0,2432.9,219
C2fF_BCo8eI,complete,7,372.7,100.0,4.5,30.0,3212.0,2444.6,348
C5uErh0OeWQ,complete,7,301.0,100.0,8.5,52.0,2844.0,2434.7,282
