feature,component,spearman_vs_residual,spearman_vs_target
scene_classification__fraction_high_confidence_frames__p90,scene_classification,0.0263,-0.0758
scene_classification__label_stability__p90,scene_classification,-0.026,-0.0906
core_depth_midas__depth_std__max,core_depth_midas,-0.0258,-0.0469
core_clip__places365_topk_scores__min,core_clip,-0.0258,-0.0928
core_optical_flow__dt_seconds__p90,core_optical_flow,-0.0258,-0.0801
cut_detection__event_times_s__p50,cut_detection,-0.0258,-0.0546
cut_detection__hist_diff_l1__min,cut_detection,-0.0258,0.0107
cut_detection__event_end_time_s__mean,cut_detection,-0.0257,-0.0593
cut_detection__shot_length_histogram__min,cut_detection,0.0256,-0.0197
core_clip__frame_embeddings__min,core_clip,-0.0254,-0.0007
cut_detection__event_end_time_s__max,cut_detection,-0.0254,-0.0585
scene_classification__length_frames__p50,scene_classification,-0.0253,-0.0242
cut_detection__shot_length_histogram__max,cut_detection,0.0252,0.0242
scene_classification__scene_change_score__std,scene_classification,-0.0251,-0.0401
cut_detection__event_pair_index__min,cut_detection,-0.0251,-0.0702
cut_detection__short_shots_ratio,cut_detection,-0.025,0.0059
scene_classification__frame_topk_ids__p50,scene_classification,-0.0249,-0.0822
core_depth_midas__foreground_background_separation_proxy__max,core_depth_midas,0.0249,0.001
scene_classification__frame_scene_embedding__min,scene_classification,-0.0249,0.0004
cut_detection__event_end_time_s__p50,cut_detection,-0.0248,-0.052
scene_classification__frame_entropy__p50,scene_classification,0.0248,0.0688
core_optical_flow__cam_affine_rotation__max,core_optical_flow,-0.0248,-0.027
core_clip__places365_video_topk_scores__max,core_clip,-0.0248,-0.0939
video_pacing__high_change_frames_ratio,video_pacing,-0.0243,-0.1087
cut_detection__audio_cut_alignment_score,cut_detection,0.0241,0.0616
scene_classification__top1_vs_top2_gap_mean__std,scene_classification,-0.0238,-0.0853
core_optical_flow__flow_mag_p95_per_sec_norm__p50,core_optical_flow,0.0234,0.1236
cut_detection__event_start_time_s__p50,cut_detection,-0.0234,-0.0594
scene_classification__frame_scene_id__max,scene_classification,0.0233,0.0181
cut_detection__event_times_s__mean,cut_detection,-0.0232,-0.0593
scene_classification__frame_topk_ids__p90,scene_classification,-0.0229,-0.1214
cut_detection__zoom_transition_count,cut_detection,0.0227,0.0174
cut_detection__pair_dt_s__p90,cut_detection,-0.0226,-0.0773
core_optical_flow__motion_norm_per_sec_mean__mean,core_optical_flow,0.0225,0.1039
core_optical_flow__flow_dy_mean_per_sec_norm__p90,core_optical_flow,0.0224,0.0774
core_depth_midas__depth_range_robust__mean,core_depth_midas,-0.0224,-0.0432
core_depth_midas__depth_p95__p90,core_depth_midas,-0.0224,-0.0372
core_optical_flow__flow_dir_sin_mean__min,core_optical_flow,0.0221,0.0442
scene_classification__scene_change_score__min,scene_classification,0.0219,0.048
core_optical_flow__flow_mag_p95_per_sec_norm__std,core_optical_flow,0.0219,0.1133
core_clip__consecutive_cosine_prev__p90,core_clip,-0.0218,-0.0615
core_depth_midas__depth_std__mean,core_depth_midas,-0.0216,-0.0383
cut_detection__event_times_s__max,cut_detection,-0.0216,-0.0561
core_optical_flow__flow_dy_mean_per_sec_norm__mean,core_optical_flow,0.0215,0.0097
core_depth_midas__depth_range_robust__min,core_depth_midas,0.0215,0.0072
scene_classification__start_frame__mean,scene_classification,-0.0215,-0.0153
scene_classification__mean_score__max,scene_classification,0.0213,-0.0541
scene_classification__top1_prob_mean__max,scene_classification,0.0213,-0.0541
