feature,component,spearman_vs_residual,spearman_vs_target
scene_classification__fraction_high_confidence_frames__p50,scene_classification,-0.0464,-0.1347
core_optical_flow__flow_div_abs_mean__mean,core_optical_flow,0.0464,0.0079
core_optical_flow__flow_consistency__std,core_optical_flow,0.0464,-0.0354
cut_detection__soft_hsv_v__max,cut_detection,-0.0461,-0.1063
core_clip__cut_detection_transition_scores__mean,core_clip,0.0455,0.076
uniqueness__repeat_threshold_used,uniqueness,0.0453,0.0544
cut_detection__cut_interval_entropy,cut_detection,-0.0453,-0.1336
core_clip__scene_aesthetic_scores__p50,core_clip,0.0453,0.0135
cut_detection__soft_hsv_v__p50,cut_detection,0.0452,-0.0449
video_pacing__brightness_change_rate,video_pacing,-0.045,0.1382
core_optical_flow__cam_ty_per_sec_norm__max,core_optical_flow,-0.045,-0.0236
cut_detection__hard_score__max,cut_detection,0.0448,0.0628
video_pacing__cut_density_map_8bins_4,video_pacing,0.0446,0.0798
cut_detection__hard_cut_strength_mean,cut_detection,0.0444,0.0563
cut_detection__event_strength__min,cut_detection,0.0441,0.1164
video_pacing__saturation_change_rate,video_pacing,-0.0441,0.1683
cut_detection__event_contrib_mask__mean,cut_detection,0.0439,0.0508
cut_detection__pair_dt_s__p50,cut_detection,0.0438,-0.0761
cut_detection__soft_lab_l__mean,cut_detection,0.0435,-0.0499
cut_detection__soft_lab_l__p50,cut_detection,0.0429,-0.0521
core_optical_flow__cam_affine_rotation__mean,core_optical_flow,0.0429,0.0915
scene_classification__frame_entropy__p90,scene_classification,-0.0424,-0.0176
video_pacing__motion_shot_corr,video_pacing,0.0422,0.0974
cut_detection__pair_dt_s__mean,cut_detection,0.0419,-0.0619
core_optical_flow__cam_tx_per_sec_norm__std,core_optical_flow,-0.0418,-0.0169
cut_detection__motion_mag_variance__mean,cut_detection,-0.0416,0.0634
cut_detection__threshold_hist__std,cut_detection,-0.0415,0.0001
scene_classification__top1_vs_top2_gap_mean__mean,scene_classification,0.0414,-0.1011
core_optical_flow__flow_dir_sin_mean__min,core_optical_flow,0.0414,0.0875
scene_classification__class_entropy_mean__max,scene_classification,-0.0411,-0.0374
scene_classification__length_frames__p50,scene_classification,-0.041,-0.0128
core_optical_flow__flow_div_abs_mean__std,core_optical_flow,0.0409,-0.0209
core_optical_flow__flow_consistency__p90,core_optical_flow,0.0408,-0.0626
core_optical_flow__flow_dir_cos_mean__mean,core_optical_flow,0.0408,-0.0405
cut_detection__soft_lab_l__std,cut_detection,-0.0404,-0.1104
scene_classification__label_stability__min,scene_classification,0.0401,0.0853
scene_classification__mean_score__p90,scene_classification,0.0401,-0.0866
scene_classification__top1_prob_mean__p90,scene_classification,0.0401,-0.0866
scene_classification__top1_vs_top2_gap_mean__p90,scene_classification,0.0401,-0.1041
cut_detection__shot_length_histogram__max,cut_detection,-0.0398,-0.01
core_optical_flow__flow_dy_mean_per_sec_norm__max,core_optical_flow,-0.0386,0.0319
core_optical_flow__dt_seconds__p50,core_optical_flow,0.0386,-0.078
scene_classification__length_seconds__max,scene_classification,-0.0385,-0.158
core_optical_flow__dt_seconds__mean,core_optical_flow,0.0378,-0.0635
cut_detection__pair_times_s__min,cut_detection,0.0377,-0.068
uniqueness__cos_dist_next_mean,uniqueness,-0.037,-0.0314
core_clip__consecutive_cosine_prev__min,core_clip,0.0369,0.1775
core_optical_flow__flow_dy_mean_per_sec_norm__min,core_optical_flow,0.0368,0.0039
video_pacing__shot_duration_mean,video_pacing,-0.0367,-0.1264
core_optical_flow__flow_dx_mean_per_sec_norm__p90,core_optical_flow,-0.0365,0.0194
video_pacing__cut_density_map_8bins_7,video_pacing,-0.0364,0.0807
core_clip__shot_quality_scores__max,core_clip,-0.0363,-0.1152
scene_classification__length_seconds__std,scene_classification,-0.0363,-0.1939
scene_classification__class_entropy_mean__min,scene_classification,-0.0362,0.0715
core_optical_flow__cam_ty_per_sec_norm__min,core_optical_flow,0.0358,0.0282
core_optical_flow__flow_mag_p95_per_sec_norm__p50,core_optical_flow,-0.0355,0.0695
scene_classification__frame_scene_embedding__p90,scene_classification,-0.0354,-0.0166
core_optical_flow__flow_consistency__mean,core_optical_flow,-0.0354,-0.013
cut_detection__event_pair_index__std,cut_detection,0.0353,-0.0492
scene_classification__frame_top1_top2_gap__max,scene_classification,0.035,-0.0804
cut_detection__hist_diff_l1__p50,cut_detection,0.0349,-0.0003
cut_detection__soft_lab_l__max,cut_detection,-0.0349,-0.1285
core_optical_flow__dt_seconds__std,core_optical_flow,-0.0349,-0.0233
core_clip__shot_quality_scores__p50,core_clip,0.0349,0.0003
video_pacing__cut_density_map_8bins_3,video_pacing,0.0346,0.0839
cut_detection__threshold_flow__min,cut_detection,-0.0345,0.0254
cut_detection__threshold_flow__p90,cut_detection,-0.0345,0.0254
cut_detection__threshold_flow__p50,cut_detection,-0.0345,0.0254
cut_detection__threshold_flow__max,cut_detection,-0.0345,0.0254
cut_detection__threshold_flow__mean,cut_detection,-0.0345,0.0254
video_pacing__shot_duration_max,video_pacing,-0.0344,-0.121
cut_detection__audio_spike_cut_ratio,cut_detection,0.0339,-0.1708
core_optical_flow__cam_affine_scale__p90,core_optical_flow,-0.0338,-0.0417
uniqueness__cos_dist_next_p95,uniqueness,-0.0337,-0.0739
core_optical_flow__motion_norm_per_sec_mean__mean,core_optical_flow,-0.0335,0.0457
scene_classification__frame_scene_embedding__p50,scene_classification,0.0334,0.0602
cut_detection__soft_flow_mag__mean,cut_detection,-0.0333,0.0472
cut_detection__motion_flow_mag__mean,cut_detection,-0.0333,0.0472
cut_detection__flow_mag__mean,cut_detection,-0.0333,0.0472
cut_detection__hard_cut_strength_p75,cut_detection,0.0333,0.0181
scene_classification__frame_scene_id__std,scene_classification,0.0332,-0.0324
core_optical_flow__cam_shake_std_norm__std,core_optical_flow,-0.0332,0.0462
scene_classification__mean_score__mean,scene_classification,0.0331,-0.0823
scene_classification__top1_prob_mean__mean,scene_classification,0.0331,-0.0823
core_clip__scene_aesthetic_scores__std,core_clip,0.033,0.0305
cut_detection__pair_dt_s__std,cut_detection,-0.0327,-0.0217
core_optical_flow__preview_cur_times_s__min,core_optical_flow,0.0324,-0.0699
cut_detection__shot_length_p25,cut_detection,-0.0323,-0.1824
core_clip__popularity_topic_scores__mean,core_clip,0.0322,0.0895
scene_classification__frame_top1_top2_gap__mean,scene_classification,0.0319,-0.1069
core_clip__cut_detection_transition_scores__max,core_clip,-0.0318,-0.0735
scene_classification__fraction_high_confidence_frames__p90,scene_classification,0.0315,-0.1119
core_optical_flow__cam_shake_std_norm__mean,core_optical_flow,-0.031,0.0561
cut_detection__hard_cuts_count,cut_detection,0.0308,-0.027
core_optical_flow__flow_consistency__p50,core_optical_flow,-0.0307,-0.0161
core_optical_flow__flow_div_abs_mean__p50,core_optical_flow,0.0306,0.016
core_optical_flow__flow_dy_mean_per_sec_norm__std,core_optical_flow,-0.0304,0.0401
core_optical_flow__flow_dy_mean_per_sec_norm__p90,core_optical_flow,-0.0301,0.0289
core_optical_flow__flow_mag_p95_per_sec_norm__max,core_optical_flow,-0.03,0.0274
core_clip__consecutive_cosine_prev__p50,core_clip,0.0295,0.0323
scene_classification__frame_scene_embedding__mean,scene_classification,0.0294,0.1271
scene_classification__class_entropy_mean__p90,scene_classification,-0.0293,-0.0024
scene_classification__frame_topk_probs__max,scene_classification,0.0293,-0.0849
scene_classification__frame_top1_prob__max,scene_classification,0.0293,-0.0849
scene_classification__frame_top1_prob__std,scene_classification,0.0292,-0.1122
cut_detection__shot_length_histogram__p50,cut_detection,-0.0292,-0.0616
core_optical_flow__cam_shake_std_norm__max,core_optical_flow,-0.0292,0.0362
video_pacing__video_length_seconds,video_pacing,0.0291,-0.0775
cut_detection__motion_cuts_count,cut_detection,-0.029,-0.0906
cut_detection__hist_diff_l1__std,cut_detection,-0.0289,-0.049
cut_detection__flow_mag__std,cut_detection,-0.0289,0.0252
cut_detection__motion_flow_mag__std,cut_detection,-0.0289,0.0252
cut_detection__soft_flow_mag__std,cut_detection,-0.0289,0.0252
core_optical_flow__flow_dx_mean_per_sec_norm__max,core_optical_flow,-0.0288,0.0032
cut_detection__scene_hard_cut_transitions,cut_detection,0.0286,-0.034
cut_detection__scene_count,cut_detection,0.0286,-0.034
core_optical_flow__motion_norm_per_sec_mean__std,core_optical_flow,-0.0284,0.0252
core_clip__frame_embeddings__p50,core_clip,0.0284,0.056
scene_classification__frame_scene_id__p50,scene_classification,0.0283,-0.0431
video_pacing__main_speed,video_pacing,-0.0282,-0.124
core_optical_flow__cam_affine_rotation__max,core_optical_flow,0.028,-0.0359
core_clip__places365_video_topk_scores__std,core_clip,-0.0279,-0.0463
scene_classification__frame_topk_probs__min,scene_classification,-0.0277,0.079
core_optical_flow__cam_ty_per_sec_norm__std,core_optical_flow,-0.0273,-0.0065
core_clip__places365_topk_scores__p90,core_clip,-0.0272,-0.0598
core_clip__frame_embeddings__mean,core_clip,0.0271,0.1287
scene_classification__length_seconds__min,scene_classification,-0.0265,-0.1204
scene_classification__frame_scene_id__max,scene_classification,0.0265,-0.052
core_clip__scene_luxury_scores__p50,core_clip,0.0264,-0.0112
core_clip__scene_atmosphere_scores__p50,core_clip,-0.0264,0.1459
scene_classification__frame_scene_id__p90,scene_classification,0.0262,-0.0483
scene_classification__frame_top1_top2_gap__p90,scene_classification,0.0262,-0.1221
core_optical_flow__flow_dy_mean_per_sec_norm__p50,core_optical_flow,0.0261,0.0278
scene_classification__start_frame__p50,scene_classification,0.0258,-0.0841
scene_classification__scene_change_score__p90,scene_classification,-0.0258,-0.1064
core_clip__consecutive_cosine_prev__mean,core_clip,0.0257,0.0358
core_clip__shot_quality_scores__mean,core_clip,0.0253,-0.0159
video_pacing__scene_embedding_jumps,video_pacing,0.0251,-0.0074
core_clip__scene_atmosphere_scores__mean,core_clip,-0.0251,0.1632
cut_detection__shot_length_histogram__std,cut_detection,-0.0249,0.0264
scene_classification__mean_score__min,scene_classification,0.0249,0.007
scene_classification__top1_prob_mean__min,scene_classification,0.0249,0.007
core_optical_flow__flow_dx_mean_per_sec_norm__std,core_optical_flow,-0.0248,0.0264
scene_classification__fraction_high_confidence_frames__mean,scene_classification,0.0245,-0.1249
cut_detection__motion_dir_consistency__std,cut_detection,0.0244,-0.1045
scene_classification__frame_top1_top2_gap__p50,scene_classification,0.0243,-0.0944
cut_detection__pair_dt_s__max,cut_detection,0.0242,-0.0959
scene_classification__frame_top1_prob__p90,scene_classification,0.0242,-0.1126
cut_detection__threshold_ssim__std,cut_detection,-0.0242,-0.1058
core_optical_flow__flow_consistency__min,core_optical_flow,0.0241,0.0471
core_optical_flow__flow_div_abs_mean__max,core_optical_flow,-0.0241,-0.0471
video_pacing__color_change_rate_std,video_pacing,-0.0236,0.1375
cut_detection__shot_length_histogram__min,cut_detection,-0.0232,-0.0466
scene_classification__frame_scene_id__mean,scene_classification,0.023,-0.0511
cut_detection__soft_hist_diff_l1__p50,cut_detection,0.0227,-0.0035
scene_classification__fraction_high_confidence_frames__max,scene_classification,0.0226,-0.103
scene_classification__scene_change_score__min,scene_classification,0.0224,-0.0387
core_optical_flow__cam_affine_scale__p50,core_optical_flow,-0.0221,-0.0728
scene_classification__frame_topk_probs__std,scene_classification,0.022,-0.089
core_clip__scene_luxury_scores__p90,core_clip,-0.0219,-0.0749
cut_detection__event_start_time_s__min,cut_detection,-0.0219,0.0031
scene_classification__frame_entropy__p50,scene_classification,0.0215,0.0829
core_optical_flow__flow_mag_std_per_sec_norm__max,core_optical_flow,-0.0214,0.0745
scene_classification__frame_top1_top2_gap__std,scene_classification,0.0213,-0.1297
cut_detection__flow_mag__p90,cut_detection,-0.021,0.0396
cut_detection__motion_flow_mag__p90,cut_detection,-0.021,0.0396
cut_detection__soft_flow_mag__p90,cut_detection,-0.021,0.0396
scene_classification__label_stability__std,scene_classification,-0.0207,-0.0862
scene_classification__class_entropy_mean__mean,scene_classification,-0.0207,0.0622
scene_classification__label_stability__p90,scene_classification,0.0205,-0.012
cut_detection__event_strength__std,cut_detection,-0.0205,-0.109
core_optical_flow__motion_norm_per_sec_mean__p90,core_optical_flow,-0.0204,0.039
scene_classification__scene_change_score__max,scene_classification,-0.0203,-0.1018
cut_detection__motion_dir_consistency__p50,cut_detection,-0.0202,-0.0984
scene_classification__end_time_s__min,scene_classification,0.0202,-0.0757
core_clip__places365_video_topk_scores__min,core_clip,0.0199,-0.0275
scene_classification__frame_topk_probs__p50,scene_classification,-0.0197,0.002
core_clip__places365_topk_scores__p50,core_clip,-0.0194,-0.103
core_optical_flow__cam_affine_scale__max,core_optical_flow,-0.019,-0.0495
scene_classification__end_frame__p90,scene_classification,0.0188,-0.0977
cut_detection__soft_hist_diff_l1__std,cut_detection,-0.0188,-0.0226
core_optical_flow__cam_shake_std_norm__p90,core_optical_flow,-0.0188,0.0449
core_clip__popularity_topic_scores__p50,core_clip,0.0182,0.0635
cut_detection__zoom_transition_count,cut_detection,-0.0182,-0.0652
cut_detection__whip_pan_transitions_count,cut_detection,-0.018,-0.1309
cut_detection__event_pair_index__p90,cut_detection,0.0178,-0.0688
core_optical_flow__flow_dir_sin_mean__mean,core_optical_flow,-0.0178,0.0134
core_optical_flow__dt_seconds__max,core_optical_flow,0.0176,-0.0988
core_clip__frame_embeddings__max,core_clip,-0.0175,0.1096
core_optical_flow__cam_affine_rotation__p90,core_optical_flow,-0.0173,-0.0259
cut_detection__motion_dir_consistency__max,cut_detection,0.0172,-0.1226
scene_classification__label_stability__mean,scene_classification,0.0171,0.0119
core_optical_flow__flow_dx_mean_per_sec_norm__p50,core_optical_flow,0.0169,-0.0268
core_clip__places365_topk_scores__min,core_clip,0.0167,0.0197
video_pacing__frame_embedding_diff_std,video_pacing,-0.0167,0.1112
scene_classification__frame_scene_embedding__max,scene_classification,-0.0166,0.0995
core_optical_flow__cam_affine_rotation__std,core_optical_flow,0.0164,-0.0307
scene_classification__frame_topk_probs__p90,scene_classification,0.0164,-0.0865
core_optical_flow__cam_affine_scale__std,core_optical_flow,-0.0163,-0.0337
core_optical_flow__flow_dy_mean_per_sec_norm__mean,core_optical_flow,0.0163,0.0462
video_pacing__pacing_symmetry,video_pacing,-0.0163,-0.0162
video_pacing__motion_speed_variance,video_pacing,-0.0162,0.0974
