feature,component,spearman_vs_residual,spearman_vs_target
cut_detection__scene_hard_cut_transitions,cut_detection,0.027,0.0208
core_clip__shot_quality_scores__p90,core_clip,0.027,-0.0397
cut_detection__short_shots_ratio,cut_detection,-0.0266,-0.0263
cut_detection__ssim_drop__p90,cut_detection,-0.0263,-0.0262
cut_detection__soft_flow_mag__p50,cut_detection,-0.0263,0.0631
cut_detection__flow_mag__p50,cut_detection,-0.0263,0.0631
core_optical_flow__dt_seconds__p90,core_optical_flow,-0.0261,-0.0794
cut_detection__motion_flow_mag__p50,cut_detection,-0.0261,0.0627
scene_classification__frame_top1_top2_gap__std,scene_classification,-0.0261,-0.0739
scene_classification__length_seconds__max,scene_classification,-0.0259,-0.094
core_optical_flow__flow_dir_cos_mean__std,core_optical_flow,-0.0258,0.0403
cut_detection__pair_dt_s__p50,cut_detection,-0.0258,-0.0758
cut_detection__motion_dir_consistency__p50,cut_detection,-0.0257,-0.0184
scene_classification__label_stability__mean,scene_classification,-0.0252,-0.0749
video_pacing__mean_motion_speed_per_shot,video_pacing,-0.0252,0.1038
scene_classification__end_frame__p90,scene_classification,0.025,-0.0455
cut_detection__motion_camera_motion_flag__mean,cut_detection,-0.025,-0.0314
scene_classification__frame_topk_probs__p50,scene_classification,-0.0249,-0.0031
cut_detection__extremely_short_shots_count,cut_detection,-0.0245,-0.0681
core_optical_flow__cam_ty_per_sec_norm__p90,core_optical_flow,-0.0245,0.0456
core_optical_flow__flow_dir_sin_mean__std,core_optical_flow,0.0245,-0.0456
scene_classification__frame_topk_ids__p50,scene_classification,-0.0242,-0.083
cut_detection__event_type_id__max,cut_detection,-0.0242,-0.0094
cut_detection__hard_score__p90,cut_detection,0.0242,0.0851
cut_detection__pair_times_s__min,cut_detection,-0.024,-0.0748
video_pacing__shot_duration_median,video_pacing,-0.0239,-0.0891
scene_classification__scene_change_score__max,scene_classification,-0.0239,-0.0015
core_optical_flow__flow_dx_mean_per_sec_norm__mean,core_optical_flow,0.0238,-0.0473
cut_detection__fade_in_count,cut_detection,-0.0237,-0.002
core_optical_flow__cam_tx_per_sec_norm__p90,core_optical_flow,-0.0237,0.0355
cut_detection__event_start_time_s__min,cut_detection,0.0234,0.0051
scene_classification__frame_top1_top2_gap__p50,scene_classification,0.0234,-0.0625
cut_detection__avg_scene_length_shots,cut_detection,0.0234,0.0451
scene_classification__start_frame__p90,scene_classification,0.0231,-0.0253
core_clip__cut_detection_transition_scores__min,core_clip,-0.0231,0.006
